"","street","zipcode","price","PublishedDate","buildKind","ConstructionYear","LivingArea","ExStorage","LotArea","Volume","Rooms","Bathrooms","Levels","EnergyLable","Insulation","Heating","Location","Garden","GardenArea","GardenAim","Storage"
"245","
        
              Madridplantsoen 35
        
            ","
            2034 VN Haarlem

        ","
    € 245.000 kosten koper
        
            
        
","25-4-2021","
    Bestaande bouw
","
    1980
        
            
        
","
    68 m²
","
    6 m²
,
    5 m²
","
    200 m³
","
    200 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"246","
        
              Rijksstraatweg 342
        
            ","
            2025 DP Haarlem

        ","
    € 425.000 kosten koper
        
            
        
","23-4-2021","
    Bestaande bouw
","
    1930
        
            
        
","
    109 m²
","
    13 m²
,
    18 m²
","
    440 m³
","
    440 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        G
            2,89
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel en open haard
","
    Aan drukke weg en in woonwijk
","
    Zonneterras
","
    18 m² (3 meter diep en 5,9 meter breed)
","
    Gelegen op het oosten
","
    Aangebouwde stenen berging
"
"247","
        
              Waddenstraat 599
        
            ","
            2036 LR Haarlem

        ","
    € 200.000 kosten koper
        
            
        
","24-4-2021","
    Bestaande bouw
","
    1973
        
            
        
","
    57 m²
","
    1 m²
,
    10 m²
,
    3 m²
","
    178 m³
","
    178 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        E
        
             Wat betekent dit?
","
    Dubbel glas
","
    Blokverwarming
","
    Aan rustige weg, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"248","
        
              Bloemhofstraat 20 A
        
            ","
            2012 ZX Haarlem

        ","
    € 300.000 kosten koper
        
            
        
","23-4-2021","
    Bestaande bouw
","
    1983
        
            
        
","
    52 m²
","
    4 m²
","
    180 m³
","
    180 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Dubbel glas en HR-glas
","
    Blokverwarming
","
    Aan rustige weg, beschutte ligging, in centrum en in woonwijk
","
    Achtertuin
","
    38 m² (3,1 meter diep en 12,2 meter breed)
","
    Gelegen op het zuiden bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"249","
        
              Ceramstraat 13
        
            ","
            2022 BK Haarlem

        ","
    € 400.000 kosten koper
        
            
        
","23-4-2021","
    Bestaande bouw
","
    1927
        
            
        
","
    92 m²
","
    8 m²
","
    293 m³
","
    293 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        D
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Openbaar parkeren
"
"250","
        
              Sandenburg 341
        
            ","
            2036 PJ Haarlem

        ","
    € 289.000 kosten koper
        
            
        
","23-4-2021","
    Bestaande bouw
","
    1980
        
            
        
","
    121 m²
","
    9 m²
,
    2 m²
","
    402 m³
","
    402 m³
","
    5 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    5e woonlaag
","
        B
        
             Wat betekent dit?
","
    Dakisolatie
","
    Blokverwarming
","
    Aan park, aan rustige weg, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"251","
        
              Pelikaanstraat 41 bis
        
            ","
            3582 SG Utrecht

        ","
    € 395.000 kosten koper
        
            
        
","23-4-2021","
    Bestaande bouw
","
    1913
        
            
        
","
    88 m²
","
    6 m²
","
    298 m³
","
    298 m³
","
    9 kamers (5 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
Niet beschikbaar","
    Gedeeltelijk dubbel glas
","
    Cv-ketel
","
    Balkon aanwezig
",NA,NA,NA,"
    Betaald parkeren, openbaar parkeren en parkeervergunningen
"
"252","
        
              Els van Roodenstraat 9
        
            ","
            2036 AC Haarlem

        ","
    € 285.000 kosten koper
        
            
        
","22-4-2021","
    Bestaande bouw
","
    1985
        
            
        
","
    88 m²
","
    5 m²
","
    279 m³
","
    279 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dakisolatie, driedubbel glas, dubbel glas, eco-bouw, gedeeltelijk dubbel glas, geen spouw, grotendeels dubbelglas, HR-glas, kierdichting, muurisolatie, vloerisolatie, volledig geïsoleerd en voorzetramen
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Achtertuin en zonneterras
","
    57 m² (12,8 meter diep en 4,42 meter breed)
","
    Gelegen op het oosten bereikbaar via achterom
","
    Box
"
"253","
        
              Nicolaas Beetsstraat 27
        
            ","
            2032 LT Haarlem

        ","
    € 190.000 kosten koper
        
            
        
","17-4-2021","
    Bestaande bouw
","
    1954
        
            
        
","
    53 m²
","
    13 m²
","
    182 m³
","
    182 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    Begane grond
","
        F
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In woonwijk
","
    Achtertuin
","
    23 m² (4,63 meter diep en 5 meter breed)
","
    Gelegen op het oosten bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"254","
        
              Springweg 462
        
            ","
            3511 VZ Utrecht

        ","
    € 298.000 kosten koper
        
            
        
","15-4-2021","
    Bestaande bouw
","
    1883
        
            
        
","
    38 m²
","
    3 m²
","
    118 m³
","
    118 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Stadsverwarming
","
    Aan rustige weg en in centrum
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"255","
        
              Witte Herenstraat 18 rood
        
            ","
            2011 NV Haarlem

        ","
    € 450.000 kosten koper
        
            
        
","15-4-2021","
    Bestaande bouw
","
    1880
        
            
        
","
    80 m²
","
    9 m²
","
    274 m³
","
    274 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2e woonlaag
","
        D
        
             Wat betekent dit?
","
    Dubbel glas en voorzetramen
","
    Cv-ketel
","
    Aan rustige weg en in centrum
","
    Dakterras aanwezig
",NA,NA,"
    Betaald parkeren en parkeervergunningen
"
"256","
        
              Oudwijk 23 BA
        
            ","
            3581 TG Utrecht

        ","
    € 595.000 kosten koper
        
            
        
","13-4-2021","
    Bestaande bouw
","
    1929
        
            
        
","
    123 m²
","
    9 m²
","
    327 m³
","
    327 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
Niet verplicht","
    Dubbel glas en vloerisolatie
","
    Stadsverwarming
","
    In woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"257","
        
              Anthoniedijk 23 b
        
            ","
            3552 XC Utrecht

        ","
    € 225.000 kosten koper
        
            
        
","12-4-2021","
    Bestaande bouw
","
    2010
        
            
        
","
    33 m²
","
    5 m²
","
    108 m³
","
    108 m³
","
    1 kamer (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        E
        
             Wat betekent dit?
","
    Dakisolatie en dubbel glas
","
    Cv-ketel
","
    Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht
","
    Dakterras aanwezig
",NA,NA,"
    Box
"
"258","
        
              Egelantierlaan 29
        
            ","
            2015 KJ Haarlem

        ","
    € 800.000 kosten koper
        
            
        
","1-4-2021","
    Bestaande bouw
","
    1996
        
            
        
","
    145 m²
","
    23 m²
,
    7 m²
","
    440 m³
","
    440 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 2 aparte toiletten
","
    1e woonlaag
","
        B
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel
","
    Aan park, aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"259","
        
              Stadhuisplein 107
        
            ","
            5038 TB Tilburg

        ","
    € 535.000 kosten koper
        
            
        
","9-3-2021","
    Bestaande bouw
","
    1980
        
            
        
","
    129 m²
","
    25 m²
,
    21 m²
","
    410 m³
","
    410 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    4 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In centrum en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"260","
        
              Nassauplein 35
        
            ","
            2011 PG Haarlem

        ","
    € 790.000 kosten koper
        
            
        
","9-3-2021","
    Bestaande bouw
","
    1885
        
            
        
","
    163 m²
","
    5 m²
","
    682 m³
","
    682 m³
","
    4 kamers (2 slaapkamers)
","
    1 badkamer en 2 aparte toiletten
","
    2 woonlagen
","
        G
        
             Wat betekent dit?
","
    Dubbel glas
","
    Blokverwarming
","
    In centrum en vrij uitzicht
",NA,NA,NA,"
    Inpandig
"
"261","
        
              Zuiderkerkstraat 2
        
            ","
            8011 HG Zwolle

        ","
    € 1.000.000 kosten koper
        
            
        
","11-2-2021","
    Bestaande bouw
","
    1899
        
            
        
","
    169 m²
","
    47 m²
","
    736 m³
","
    736 m³
","
    6 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3 woonlagen
","
Niet verplicht","
    Dakisolatie, dubbel glas en muurisolatie
","
    Cv-ketel
","
    Beschutte ligging, in centrum en in woonwijk
","
    Dakterras aanwezig en balkon aanwezig
",NA,NA,"
    Inpandig
"
"262","
        
              Bakenessergracht 64 rood
        
            ","
            2011 JX Haarlem

        ","
    € 550.000 kosten koper
        
            
        
","13-2-2021","
    Bestaande bouw
","
    1750
        
            
        
","
    105 m²
","","
    301 m³
","
    301 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer
","
    2 woonlagen
","
Niet verplicht","
    Dakisolatie, gedeeltelijk dubbel glas en vloerisolatie
","
    Cv-ketel
","
    Aan vaarwater en in centrum
",NA,NA,NA,"
    Betaald parkeren
"
"263","
        
              Koningsweg 58
        
            ","
            5211 BN Den Bosch

        ","
    € 635.000 kosten koper
        
            
        
","4-1-2021","
    Bestaande bouw
","
    1901
        
            
        
","
    182 m²
","
    6 m²
,
    13 m²
","
    700 m³
","
    700 m³
","
    4 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        G
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In centrum
","
    Dakterras aanwezig
",NA,NA,"
    Inpandig
"
